city,country,latitude,longitude,max temp,humidity,cloudiness,windspeed
kahului,US,20.89,-156.47,30.0,48,1,5.1
ulagan,RU,50.63,87.96,-6.66,69,79,2.56
hami,CN,42.84,93.51,8.87,31,100,0.25
caravelas,BR,-17.73,-39.27,23.72,85,1,4.56
maskinonge,CA,46.23,-73.02,6.0,70,75,5.1
victoria,BN,5.28,115.24,27.0,83,75,1.0
calvinia,ZA,-31.47,19.78,16.65,33,73,1.08
busselton,AU,-33.64,115.35,8.33,70,100,2.47
bluff,AU,-23.58,149.07,21.39,79,71,2.36
hilo,US,19.71,-155.08,29.0,58,1,4.1
mackenzie,CA,55.34,-123.09,3.0,93,90,1.5
muli,CN,28.08,109.56,12.08,72,0,2.33
nagato,JP,34.35,131.14,16.0,82,20,3.6
narsaq,GL,60.91,-46.05,-2.0,58,1,0.5
hithadhoo,MV,-0.6,73.08,27.88,67,71,1.1
nanzhang,CN,31.78,111.84,13.61,76,0,3.16
ponta do sol,BR,-20.63,-46.0,24.79,65,64,1.92
provideniya,RU,64.42,-173.23,-7.92,85,0,0.78
ayan,IR,38.23,44.7,0.05,71,0,0.4
clyde river,CA,70.47,-68.59,-6.0,79,90,5.7
northam,AU,-31.65,116.67,7.0,93,3,1.92
kurilsk,RU,45.23,147.88,3.77,80,70,4.23
lata,IN,30.78,78.62,-4.19,79,24,1.59
broken hill,AU,-31.97,141.45,13.0,58,0,3.1
deputatskiy,RU,69.3,139.9,-20.8,99,99,0.51
qaanaaq,GL,77.48,-69.36,-7.27,80,100,3.34
dentsville,US,34.06,-80.96,17.78,29,20,2.01
ardakan,IR,32.31,54.02,14.0,35,0,2.1
nushki,PK,29.55,66.02,17.49,30,0,0.41
port hardy,CA,50.7,-127.42,11.0,93,90,2.1
new norfolk,AU,-42.78,147.06,12.78,58,75,5.7
tocopilla,CL,-22.09,-70.2,20.7,15,0,4.39
ribeira grande,PT,38.52,-28.7,19.0,72,75,2.6
hambantota,LK,6.12,81.12,23.0,100,75,1.5
nikolskoye,RU,59.7,30.79,4.0,93,90,2.0
nara,JP,34.68,135.8,16.0,72,75,5.7
nizhniy kuranakh,RU,58.84,125.49,-6.53,92,100,0.85
vaini,IN,15.34,74.49,20.06,92,0,0.95
rio grande,BR,-32.03,-52.1,20.0,77,100,3.1
mahebourg,MU,-20.41,57.7,23.33,83,75,6.7
vardo,US,39.62,-77.74,11.11,31,1,2.6
kargasok,RU,59.06,80.87,-7.82,86,74,2.41
kruisfontein,ZA,-34.0,24.73,12.45,87,46,2.33
kuntaur,GM,13.67,-14.89,29.62,36,67,2.14
inhambane,MZ,-23.87,35.38,24.3,79,54,5.35
vangaindrano,MG,-23.35,47.6,19.92,95,48,1.88
whitianga,NZ,-36.83,175.7,23.33,62,59,1.79
tura,RU,64.27,100.22,-21.24,86,99,2.14
luanda,AO,-8.83,13.24,27.0,78,20,5.16
saskylakh,RU,71.97,114.09,-23.85,96,98,7.23
hobart,AU,-42.88,147.33,12.78,58,75,5.7
richards bay,ZA,-28.77,32.06,22.2,77,100,9.99
chokurdakh,RU,70.62,147.9,-15.16,96,100,3.01
alofi,NU,-19.06,-169.92,23.0,64,100,5.1
nome,US,30.04,-94.42,20.0,34,1,3.6
ucluelet,CA,48.94,-125.55,11.11,100,40,1.0
san quintin,PH,17.54,120.52,23.08,90,100,1.78
port moresby,PG,-9.47,147.16,26.0,88,90,1.5
baglung,NP,28.27,83.59,5.25,69,0,2.48
matucana,PE,-11.84,-76.39,13.7,71,81,3.2
mwinilunga,ZM,-11.73,24.43,20.59,56,61,0.89
opuwo,NA,-18.06,13.84,27.05,25,100,4.3
jardim,BR,-21.48,-56.15,31.08,41,45,2.74
yulara,AU,-25.24,130.99,16.0,25,0,3.1
sola,TZ,-3.17,33.8,23.15,33,80,3.32
yerofey pavlovich,RU,53.97,121.97,-8.88,89,100,0.75
sao joao batista,BR,-3.13,-58.38,34.09,43,68,0.8
srednekolymsk,RU,67.46,153.71,-14.67,93,89,1.38
angoche,MZ,-16.23,39.91,24.79,91,0,2.08
bambous virieux,MU,-20.34,57.76,23.33,83,75,6.7
cap malheureux,MU,-19.98,57.61,23.33,83,75,6.7
batavia,US,43.0,-78.19,6.11,59,75,5.1
bathsheba,BB,13.22,-59.52,29.0,74,75,8.7
geraldton,CA,49.72,-86.95,-1.0,86,90,3.6
carnarvon,ZA,-30.97,22.13,18.95,12,12,3.23
vazhiny,RU,60.96,34.04,1.8,99,100,1.69
baillif,GP,16.02,-61.75,28.0,74,65,3.1
yining,CN,29.04,114.56,11.06,69,0,0.09
sabancuy,MX,18.97,-91.18,27.22,80,9,3.39
sfantu gheorghe,RO,44.65,26.83,12.22,100,100,0.5
khandyga,RU,62.65,135.58,-16.03,86,100,1.15
naica,MX,27.86,-105.49,24.65,36,20,1.68
saint-michel-des-saints,CA,46.68,-73.92,2.22,8,89,0.45
namibe,AO,-15.19,12.15,22.38,86,71,3.41
kutum,SD,14.2,24.66,22.77,16,50,4.59
castro,CL,-42.48,-73.76,12.0,71,20,7.7
ofaqim,IL,31.31,34.62,20.56,86,0,0.45
kushnarenkovo,RU,55.11,55.34,-9.44,92,29,0.89
husavik,CA,50.56,-96.99,1.11,95,100,2.27
klaksvik,FO,62.23,-6.59,5.0,69,100,6.2
portland,US,43.66,-70.25,10.0,39,20,4.6
churapcha,RU,62.0,132.43,-11.78,95,100,2.33
banda aceh,ID,5.56,95.32,23.08,84,100,0.89
bezhanitsy,RU,56.97,29.88,8.11,92,100,4.02
aksarka,RU,66.56,67.8,-17.1,95,0,3.48
hukuntsi,BW,-23.98,21.76,25.93,27,0,2.53
sistranda,NO,63.73,8.83,1.11,80,20,5.7
tingo maria,PE,-9.29,-76.01,30.0,62,20,2.6
kangaatsiaq,GL,68.31,-53.46,-2.95,61,46,5.84
san alberto,PY,-24.98,-54.91,25.0,78,75,2.1
brae,GB,60.4,-1.35,9.0,70,0,7.7
oktyabrskoye,RU,56.73,85.44,-5.0,73,100,1.39
mandurah,AU,-32.55,115.7,10.56,100,89,3.65
saint-georges,CA,46.12,-70.67,2.78,94,88,3.95
cherskiy,RU,68.75,161.3,-6.38,81,100,7.93
dingle,PH,11.0,122.67,23.66,89,50,1.27
karratha,AU,-20.74,116.85,24.72,47,33,6.82
pitimbu,BR,-7.47,-34.81,26.0,78,40,5.1
amudat,UG,1.95,34.95,23.24,46,96,5.38
khatanga,RU,71.98,102.47,-24.68,95,98,5.22
severo-kurilsk,RU,50.68,156.12,0.08,88,13,1.67
yarmouth,CA,43.84,-66.12,8.89,65,75,5.7
norman wells,CA,65.28,-126.83,-8.0,92,75,2.1
pevek,RU,69.7,170.27,-11.22,80,12,5.97
port blair,IN,11.67,92.75,28.04,76,95,6.63
gourcy,BF,13.21,-2.36,29.91,34,100,3.95
goderich,CA,43.74,-81.71,5.0,72,100,4.47
cabo san lucas,MX,22.89,-109.91,31.67,55,20,6.2
kingaroy,AU,-26.54,151.84,22.22,77,90,5.7
angoram,PG,-4.06,144.07,23.06,99,100,0.35
san nicolas,PH,16.07,120.76,20.79,93,88,1.63
brus laguna,HN,15.75,-84.48,27.74,85,0,1.87
nieuw amsterdam,SR,5.88,-55.08,31.0,62,20,3.1
bosobolo,CD,4.19,19.88,22.17,93,29,0.92
bilibino,RU,68.06,166.44,-11.32,87,100,1.31
vila franca do campo,PT,37.72,-25.43,19.0,68,75,3.1
sulangan,PH,11.14,123.72,27.42,78,2,3.12
panaba,MX,21.28,-88.27,26.51,74,20,5.35
simpang,ID,4.36,96.17,21.54,90,95,0.98
hokitika,NZ,-42.72,170.96,12.47,80,3,1.57
evensk,RU,61.92,159.24,-3.11,81,100,4.15
constitucion,MX,23.99,-104.67,24.0,38,40,1.5
mayumba,GA,-3.44,10.65,26.12,88,100,4.42
kavaratti,IN,10.57,72.64,27.04,72,13,2.19
takoradi,GH,4.89,-1.75,26.63,80,6,1.64
nicoya,CR,10.15,-85.45,32.0,55,20,5.7
baculin,PH,7.45,126.58,22.47,93,100,1.0
lebu,ET,8.96,38.73,10.66,64,19,2.46
talnakh,RU,69.49,88.39,-18.0,84,75,6.0
fougamou,GA,-1.22,10.59,23.18,97,100,1.76
east london,ZA,-33.02,27.91,18.97,72,82,5.01
butaritari,KI,3.07,172.79,28.09,80,3,7.84
hofn,IS,64.25,-15.21,3.53,75,100,13.35
tautira,PF,-17.73,-149.15,29.0,74,40,5.1
tucurui,BR,-3.77,-49.67,31.01,51,64,0.91
ancud,CL,-41.87,-73.83,12.0,71,20,7.7
san rafael,AR,-34.61,-68.33,30.78,8,0,5.39
carsamba,TR,41.2,36.72,5.0,86,0,4.05
samarai,PG,-10.62,150.67,24.42,86,64,2.86
gizo,IL,31.8,34.94,20.56,82,0,2.6
xacmaz,AZ,41.46,48.81,9.0,82,29,1.85
bedford,US,32.84,-97.14,20.0,37,75,8.2
novolabinskaya,RU,45.11,39.9,2.0,80,100,2.0
tuatapere,NZ,-46.13,167.69,16.49,53,65,2.21
vallenar,CL,-28.58,-70.76,18.47,54,75,5.03
hovd,NO,63.83,10.7,1.11,85,0,3.1
lompoc,US,34.64,-120.46,27.78,59,1,1.5
ust-tsilma,RU,65.44,52.15,-5.67,93,100,5.74
codrington,AU,-28.95,153.24,24.0,69,75,2.6
lasa,CY,34.92,32.53,18.0,72,20,3.6
clute,US,29.02,-95.4,21.11,60,1,3.6
port lincoln,AU,-34.72,135.86,11.92,78,0,4.62
pasni,PK,25.26,63.48,26.31,61,0,3.43
sendafa,ET,9.16,39.02,10.17,68,61,2.75
cockburn town,TC,21.46,-71.14,27.51,69,1,5.41
walvis bay,NA,-22.95,14.51,27.95,22,28,9.49
palana,RU,59.08,159.95,-1.53,81,77,1.81
seoul,KR,37.57,126.98,10.0,93,1,2.6
faanui,PF,-16.48,-151.75,27.43,80,32,5.23
kununurra,AU,-15.77,128.74,27.0,83,0,1.5
zeven,DE,53.3,9.28,12.0,87,20,3.6
aklavik,CA,68.22,-135.01,-6.0,92,90,1.08
amahai,ID,-3.31,129.0,28.33,88,100,0.45
tynda,RU,55.15,124.74,-12.99,91,33,0.1
broome,GB,52.47,1.45,9.44,100,94,2.1
port shepstone,ZA,-30.74,30.45,18.49,84,100,2.48
terra santa,BR,-2.1,-56.49,34.48,36,31,1.43
avarua,CK,-21.21,-159.78,23.0,56,100,4.6
tiksi,RU,71.64,128.87,-13.24,90,100,2.18
saint george,GR,39.45,22.34,16.0,82,40,2.1
ajka,HU,47.11,17.56,18.0,63,69,7.2
nanortalik,GL,60.14,-45.24,0.61,75,0,2.64
laguna,BZ,16.17,-88.94,30.0,70,40,2.1
ust-kut,RU,56.78,105.75,-8.28,90,100,3.45
mahon,IE,51.89,-8.4,7.22,93,40,3.1
morehead,US,38.18,-83.43,11.0,37,1,2.1
sitka,US,37.17,-99.65,17.78,28,0,1.79
ozuluama,MX,21.12,-98.35,16.88,92,99,0.84
leningradskiy,RU,69.38,178.42,-8.29,78,64,0.92
saint-augustin,CA,45.63,-73.98,6.11,82,40,4.6
naze,NG,5.43,7.07,25.0,94,20,1.44
faya,SA,18.39,42.45,18.0,59,21,3.49
salalah,OM,17.01,54.1,27.0,88,75,1.5
hastings,NZ,-39.64,176.84,17.08,64,0,0.97
saldanha,PT,41.42,-6.55,12.18,88,92,7.28
hasaki,JP,35.73,140.83,11.11,100,20,1.5
vanimo,PG,-2.67,141.3,26.09,88,100,4.57
ullapool,GB,57.9,-5.16,10.0,91,100,3.58
zharkent,KZ,44.17,80.0,9.83,55,41,1.83
gat,SN,14.69,-16.54,31.0,54,35,1.5
saint anthony,US,43.97,-111.68,8.33,35,75,3.6
gravdal,NO,59.79,5.78,7.78,59,75,2.6
coihaique,CL,-45.58,-72.07,8.0,61,90,1.5
shinpokh,PK,34.33,71.18,18.0,68,5,2.1
petropavlovsk-kamchatskiy,RU,53.05,158.65,2.0,100,20,1.0
mucuri,BR,-18.08,-39.55,25.02,80,1,5.51
high level,CA,58.52,-117.13,-5.0,79,75,2.1
bambanglipuro,ID,-7.95,110.28,23.5,87,99,3.18
wamba,CD,2.14,27.99,19.7,97,100,0.86
jalu,LY,29.03,21.55,20.42,46,0,3.65
kizlyar,RU,43.84,46.71,6.85,78,99,3.3
margate,AU,-43.03,147.26,12.78,58,75,5.7
pangody,RU,65.85,74.49,-17.54,92,0,3.65
bandarbeyla,SO,9.49,50.81,27.53,81,28,4.9
maniitsoq,GL,65.42,-52.9,-2.13,57,71,4.28
farafangana,MG,-22.82,47.83,24.3,81,3,10.31
fairbanks,US,64.84,-147.72,-7.22,100,90,2.1
pisco,PE,-13.71,-76.2,22.0,30,20,7.7
iglesias,ES,42.3,-3.99,12.78,93,90,8.2
vestmannaeyjar,IS,63.44,-20.27,3.94,64,100,3.12
quelimane,MZ,-17.88,36.89,25.0,73,0,3.1
dunedin,NZ,-45.87,170.5,13.14,77,33,0.61
kenai,US,60.55,-151.26,3.89,93,75,3.6
fatwa,IN,25.52,85.32,23.0,94,40,1.5
isilkul,RU,54.9,71.26,-2.26,66,100,1.83
chilca,PE,-13.22,-72.34,19.0,81,40,3.6
taltal,CL,-25.41,-70.49,15.27,70,87,2.79
airai,TL,-8.93,125.41,19.64,51,47,1.35
wanning,AT,48.64,13.53,10.56,93,75,4.6
quatre cocos,MU,-20.21,57.76,23.33,83,75,6.7
hervey bay,AU,-25.3,152.85,27.22,78,15,2.6
auki,NG,12.18,6.51,27.16,31,85,1.45
villarrobledo,ES,39.27,-2.6,13.33,85,0,5.36
kavieng,PG,-2.57,150.8,27.75,76,100,4.16
souillac,FR,45.6,-0.6,12.0,93,75,4.6
san cristobal,HN,14.68,-86.92,23.52,80,49,2.07
bealanana,MG,-14.54,48.75,13.87,97,2,1.09
khani,GE,41.96,42.96,12.0,54,0,11.3
ballina,IE,54.11,-9.15,7.78,95,100,0.45
krosno,PL,49.69,21.77,14.44,82,20,4.1
sivas,TR,39.75,37.01,-1.0,80,0,4.1
makakilo city,US,21.35,-158.09,29.0,65,75,2.1
geilo,NO,60.53,8.21,-6.67,94,91,5.36
barra dos coqueiros,BR,-10.91,-37.04,27.0,74,40,6.7
mahibadhoo,MV,3.78,72.97,28.23,66,88,2.17
kamaishi,JP,39.28,141.86,6.7,71,29,3.86
shahr-e babak,IR,30.12,55.12,11.37,20,0,3.14
moron,HT,18.56,-74.26,27.87,73,41,2.9
ko samui,TH,9.54,99.94,27.61,79,100,6.23
port-gentil,GA,-0.72,8.78,27.0,88,40,2.6
hamilton,CA,43.26,-79.87,5.0,59,75,5.1
colborne,CA,44.01,-77.89,6.11,65,75,4.1
antiguo morelos,MX,22.55,-99.08,26.67,58,74,1.79
puerto escondido,MX,15.86,-97.07,31.0,70,40,3.6
kpandu,GH,7.0,0.29,22.13,94,39,1.14
betare oya,CM,5.6,14.08,20.53,89,100,1.21
sur,OM,22.57,59.53,25.68,74,13,3.05
guymon,US,36.68,-101.48,23.0,19,1,5.1
novopokrovka,UA,49.84,36.56,6.0,75,75,5.0
antofagasta,CL,-23.65,-70.4,17.0,72,20,6.7
tigbao,PH,11.26,124.97,23.46,91,2,0.48
carahue,CL,-38.71,-73.16,15.0,77,75,4.6
yenagoa,NG,4.92,6.26,24.15,92,23,1.34
meulaboh,ID,4.14,96.13,25.61,78,62,3.49
mayna,RU,53.0,91.49,-4.46,70,92,1.1
shenjiamen,CN,29.96,122.3,19.5,68,0,8.06
high prairie,CA,55.43,-116.48,-0.6,66,91,1.31
axim,GH,4.87,-2.24,24.24,88,0,0.73
kasama,ZM,-10.21,31.19,21.74,41,0,3.22
roald,NO,62.58,6.12,3.0,51,0,7.7
charters towers,AU,-20.07,146.27,22.43,78,23,4.7
pauini,BR,-7.71,-67.0,29.86,56,50,1.92
yinchuan,CN,38.48,106.21,8.89,38,0,1.79
cayenne,GF,4.94,-52.33,26.0,94,4,3.52
tokur,RU,53.13,132.9,-13.08,91,0,0.43
comodoro rivadavia,AR,-45.87,-67.48,22.0,34,40,11.8
poso,ID,-1.4,120.75,19.35,79,100,1.88
acapulco,MX,16.86,-99.88,31.0,66,40,3.1
trincomalee,LK,8.58,81.23,23.55,91,99,1.06
crawfordsville,US,40.04,-86.9,12.0,53,1,7.7
anadyr,RU,64.73,177.51,-10.0,85,40,1.0
apt,FR,43.88,5.4,14.0,81,89,1.5
tallahassee,US,30.44,-84.28,22.0,34,1,3.1
merauke,ID,-8.49,140.4,24.11,81,100,2.62
mikhaylovka,RU,52.96,103.29,-4.99,79,94,2.85
college,US,64.86,-147.8,-7.22,100,90,2.1
belaya gora,RU,68.54,146.19,-20.35,98,80,1.99
pangnirtung,CA,66.15,-65.72,-8.0,85,20,1.0
joshimath,IN,30.57,79.57,4.39,50,0,2.86
kempele,FI,64.91,25.51,-5.0,100,20,1.5
umba,RU,66.69,34.34,0.69,96,100,5.53
beloha,MG,-25.17,45.06,21.62,67,0,1.83
lengshuijiang,CN,27.66,111.45,12.25,73,0,1.4
wanlaweyn,SO,2.62,44.89,25.52,82,98,5.43
half moon bay,US,37.46,-122.43,27.78,26,1,2.6
tucuman,PE,-17.17,-70.89,17.82,50,0,5.08
paragominas,BR,-3.0,-47.35,29.41,61,55,2.56
morant bay,JM,17.88,-76.41,31.0,62,40,6.2
harer,US,42.19,-111.17,10.56,30,40,3.1
saint-joseph,FR,43.56,6.97,16.0,54,0,6.7
praia da vitoria,PT,38.73,-27.07,19.0,77,75,4.84
sao filipe,CV,14.9,-24.5,26.42,65,0,4.39
mayor pablo lagerenza,PY,-19.93,-60.77,37.05,29,40,5.21
hereford,GB,52.06,-2.72,10.0,94,50,2.22
fez,MA,34.03,-5.02,16.0,100,75,3.1
kichera,RU,55.93,110.1,-12.58,78,25,3.97
vila velha,BR,-3.71,-38.6,27.0,74,20,5.7
odessa,US,31.85,-102.37,25.56,19,1,6.2
baraboo,US,43.47,-89.74,8.33,71,40,1.5
neryungri,RU,56.66,124.71,-10.17,67,68,0.99
kalaleh,IR,37.38,55.49,11.0,87,75,2.48
kovdor,RU,67.56,30.47,-10.86,95,65,2.33
zaranj,AF,30.95,61.86,16.0,63,0,5.1
flinders,AU,-34.58,150.85,20.0,88,75,3.1
frederico westphalen,BR,-27.36,-53.4,22.73,89,91,3.31
homer,US,59.64,-151.54,6.0,93,90,2.92
xiazhen,TW,23.89,120.95,22.78,73,75,8.7
manokwari,ID,-0.87,134.08,23.16,77,100,2.08
shingu,JP,33.72,135.99,16.2,71,33,3.83
roanoke rapids,US,36.46,-77.65,15.0,34,1,2.25
bosaso,SO,11.28,49.18,28.73,76,86,9.49
sao jose do belmonte,BR,-7.86,-38.76,30.12,30,58,4.49
baruun-urt,MN,46.68,113.28,1.79,69,50,4.89
burgeo,CA,47.61,-57.61,9.19,94,100,10.19
eldorado,BR,-24.52,-48.11,24.48,87,65,4.65
fort nelson,CA,58.81,-122.69,-3.0,86,75,1.5
keshorai patan,IN,25.3,75.93,23.12,71,0,1.69
mairana,BO,-18.12,-63.96,19.94,79,100,2.29
westport,US,41.14,-73.36,11.67,39,20,4.1
lakatoro,VU,-16.11,167.42,26.55,81,89,8.49
lichinga,MZ,-13.3,35.25,22.06,62,0,1.11
capinota,BO,-17.71,-66.26,27.0,14,40,2.1
pathein,MM,16.78,94.73,24.64,91,0,2.04
klamath falls,US,42.22,-121.78,19.44,27,1,0.41
lazaro cardenas,MX,28.39,-105.62,25.0,31,75,3.6
lamu,CN,35.77,102.37,-0.77,59,0,1.05
hualmay,PE,-11.1,-77.61,21.12,61,34,3.82
doha,QA,25.29,51.53,28.0,58,0,1.0
istok,PL,52.66,23.48,13.33,73,100,1.34
podgornoye,RU,57.79,82.64,-5.41,80,100,1.46
puerto del rosario,ES,28.5,-13.86,22.0,68,20,6.2
sept-iles,CA,50.2,-66.38,3.89,76,90,1.5
touros,BR,-5.2,-35.46,26.0,74,100,5.1
oksfjord,NO,70.24,22.35,1.0,55,40,3.1
haines junction,CA,60.75,-137.51,-1.7,95,100,1.59
biak,ID,-0.91,122.88,27.29,73,100,4.46
mazagao,BR,-0.12,-51.29,31.0,79,20,5.7
yangjiang,CN,21.85,111.96,19.93,73,0,2.84
dawei,MM,14.07,98.19,27.05,78,37,4.18
luan,CH,46.36,6.98,9.44,81,90,6.7
ziduri,RO,45.29,27.08,11.0,81,75,4.1
laramie,US,41.31,-105.59,12.0,48,75,3.6
soyo,AO,-6.13,12.37,25.81,85,94,2.5
kimbe,PG,-5.56,150.15,24.13,93,100,1.23
belmonte,PT,40.36,-7.35,15.0,96,100,3.13
tual,ID,-5.67,132.75,27.02,75,100,3.45
halifax,CA,44.65,-63.58,8.89,70,40,5.7
tecoanapa,MX,16.99,-99.26,31.0,66,40,3.1
yeniseysk,RU,58.45,92.17,-6.88,78,1,1.47
qeshm,IR,26.96,56.27,24.0,64,40,2.1
lavrentiya,RU,65.58,-170.99,-4.13,80,0,2.76
temir,KZ,49.14,57.13,-3.39,65,0,6.49
redlands,US,34.06,-117.19,29.0,4,1,2.1
guerrero negro,MX,27.97,-114.04,26.5,28,100,4.8
sawtell,AU,-30.38,153.1,27.22,61,0,4.1
masindi,UG,1.69,31.72,18.0,89,11,0.44
chipinge,ZW,-20.19,32.62,20.52,45,35,3.07
mattoon,US,39.48,-88.38,12.22,43,1,7.2
jiujiang,CN,29.73,115.99,14.89,62,0,3.76
kita,JP,35.76,139.74,15.56,87,40,5.1
launceston,AU,-41.43,147.14,12.78,87,75,6.2
artesia,US,32.84,-104.4,24.44,18,1,5.7
omboue,GA,-1.57,9.26,24.31,95,100,0.66
dosso,NE,13.05,3.19,29.8,29,100,2.27
bucerias,MX,20.76,-105.33,31.0,62,5,3.6
namatanai,PG,-3.66,152.44,26.36,79,100,2.84
pag,HR,44.45,15.06,17.0,100,75,6.2
santa maria,BR,-16.02,-48.01,25.0,65,75,7.7
abha,SA,18.22,42.5,18.0,59,4,0.46
panguna,PG,-6.32,155.48,21.42,94,100,0.88
ust-ishim,RU,57.69,71.17,-8.97,94,0,0.2
mackay,CA,53.65,-115.58,1.0,86,90,1.5
silver city,US,32.77,-108.28,23.89,11,1,4.6
muroto,JP,33.37,134.14,15.0,58,20,4.6
batemans bay,AU,-35.71,150.18,18.33,83,17,0.68
bolgatanga,GH,10.79,-0.85,28.96,51,79,0.84
kikwit,CD,-5.04,18.82,22.35,94,100,0.98
rincon,PA,8.46,-82.28,30.0,74,40,3.6
mamlyutka,KZ,54.94,68.54,-3.84,76,100,2.93
presidente medici,BR,-11.18,-61.9,27.81,68,69,0.7
urengoy,RU,65.96,78.37,-19.3,96,0,3.54
santiago de chuco,PE,-8.15,-78.17,8.0,95,100,2.61
porteirinha,BR,-15.74,-43.03,29.79,32,55,1.73
agirish,RU,61.92,63.02,-7.34,93,0,2.52
leogane,HT,18.51,-72.63,30.0,58,20,4.1
lima,PE,-12.06,-77.04,21.0,73,75,5.1
alugan,PH,12.22,125.48,25.6,88,6,2.1
castelo do piaui,BR,-5.32,-41.55,30.08,40,97,1.24
winter garden,US,28.57,-81.59,25.0,60,75,7.2
collierville,US,35.04,-89.66,16.11,46,5,3.1
fallon,US,46.84,-105.12,6.0,70,90,7.2
rocha,UY,-34.48,-54.34,16.18,84,44,3.67
shimoda,JP,34.7,138.93,14.44,94,79,10.47
voskresensk,RU,55.32,38.68,4.0,93,90,5.0
kaitangata,NZ,-46.28,169.85,17.78,59,36,2.68
aranda de duero,ES,41.67,-3.69,10.02,82,93,11.2
chuy,UY,-33.69,-53.46,18.03,79,100,3.83
raton,US,36.9,-104.44,21.0,9,1,2.6
toppenish,US,46.38,-120.31,11.67,37,1,0.92
srivardhan,IN,18.03,73.02,25.01,85,93,1.85
lorengau,PG,-2.02,147.27,28.06,70,100,4.42
chapais,CA,49.78,-74.86,-2.0,100,90,2.6
ust-karsk,RU,52.71,118.82,-4.15,60,100,1.32
sorong,ID,-0.86,131.25,22.17,97,100,0.57
petropavlovka,RU,50.61,105.32,-3.28,55,98,2.02
